date,produit,vendeur,quantite,montant,marge,taille_vente
2026-08-24,Laptop Pro,Lucie,1,1200,504.0,Moyenne
2026-08-24,Smartphone X,Karim,4,2600,1092.0,Grosse
2026-08-24,Laptop Pro,Alice,9,10800,4536.0,Grosse
2026-08-24,Écouteurs BT,Alice,1,120,50.4,Petite
2026-08-24,Laptop Pro,Karim,4,4800,2016.0,Grosse
2026-08-24,Laptop Pro,Karim,9,10800,4536.0,Grosse
2026-08-24,Écouteurs BT,Thomas,4,480,201.6,Petite
2026-08-24,Tablette Air,Karim,1,450,189.0,Petite
2026-08-24,Écouteurs BT,Lucie,6,720,302.4,Moyenne
2026-08-24,Smartphone X,Lucie,4,2600,1092.0,Grosse
2026-08-24,Laptop Pro,Thomas,2,2400,1008.0,Grosse
2026-08-24,Laptop Pro,Lucie,6,7200,3024.0,Grosse
2026-08-24,Tablette Air,Thomas,1,450,189.0,Petite
2026-08-24,Laptop Pro,Alice,7,8400,3528.0,Grosse
2026-08-24,Tablette Air,Lucie,10,4500,1890.0,Grosse
2026-08-24,Smartphone X,Alice,2,1300,546.0,Moyenne
2026-08-24,Smartphone X,Alice,5,3250,1365.0,Grosse
2026-08-24,Smartphone X,Thomas,2,1300,546.0,Moyenne
2026-08-24,Tablette Air,Lucie,8,3600,1512.0,Grosse
2026-08-24,Smartphone X,Lucie,6,3900,1638.0,Grosse
2026-08-24,Smartphone X,Alice,5,3250,1365.0,Grosse
2026-08-24,Smartphone X,Karim,9,5850,2457.0,Grosse
2026-08-24,Smartphone X,Thomas,8,5200,2184.0,Grosse
2026-08-24,Tablette Air,Karim,9,4050,1701.0,Grosse
2026-08-24,Tablette Air,Karim,1,450,189.0,Petite
2026-08-24,Laptop Pro,Thomas,6,7200,3024.0,Grosse
2026-08-24,Tablette Air,Karim,2,900,378.0,Moyenne
2026-08-24,Tablette Air,Thomas,4,1800,756.0,Moyenne
2026-08-24,Écouteurs BT,Karim,8,960,403.2,Moyenne
2026-08-24,Tablette Air,Karim,3,1350,567.0,Moyenne
